feature,importance,source
retweet_ratio,0.08930391874190252,behavioral (paper 1)
listed_per_follower,0.029555891637279928,behavioral (paper 1)
screen_name_digit_ratio,0.02599440612619013,behavioral (paper 1)
favourites_per_day,0.025233336566561414,behavioral (paper 1)
name_entropy,0.025096659169252238,behavioral (paper 1)
friends_to_followers,0.02493323241836975,behavioral (paper 1)
ling_avg_word_len,0.02406250600970996,linguistic (paper 2)
friends_per_day,0.023890847903093444,behavioral (paper 1)
ling_unique_word_ratio,0.023671847904292435,linguistic (paper 2)
log_friends,0.022985576072475436,behavioral (paper 1)
log_media_count,0.022911008120065815,behavioral (paper 1)
log_tweet_frequency,0.022894762802805977,behavioral (paper 1)
statuses_per_day,0.02242957280422424,behavioral (paper 1)
screen_name_entropy,0.02213170024312517,behavioral (paper 1)
ling_char_entropy,0.021701124442620488,linguistic (paper 2)
ling_hashtag_per_100chars,0.020097996581097153,linguistic (paper 2)
log_statuses,0.019212663589174398,behavioral (paper 1)
name_len,0.018956479796320813,behavioral (paper 1)
followers_per_day,0.018030789125552605,behavioral (paper 1)
account_age_days,0.017641885969996017,behavioral (paper 1)
ling_n_sentences,0.01716743807941689,linguistic (paper 2)
ling_avg_sentence_len_words,0.017140304931126154,linguistic (paper 2)
log_followers,0.016958600393944968,behavioral (paper 1)
ling_stopword_ratio,0.01691735749224995,linguistic (paper 2)
ling_n_chars,0.016878161823018222,linguistic (paper 2)
ling_n_words,0.016840031369418862,linguistic (paper 2)
ling_url_per_100chars,0.016825470940510453,linguistic (paper 2)
statuses_to_favourites,0.016177868569855352,behavioral (paper 1)
ling_repetition_ratio,0.016116916748177446,linguistic (paper 2)
ling_emoji_per_100chars,0.01610752964260757,linguistic (paper 2)
ling_latin_char_ratio,0.015224163014013357,linguistic (paper 2)
log_mean_favourites_per_tweet,0.014981882291386427,behavioral (paper 1)
ling_mention_per_100chars,0.01473586297982877,linguistic (paper 2)
ling_excl_per_100chars,0.014284186314382103,linguistic (paper 2)
log_time_between_tweets,0.013920990689707086,behavioral (paper 1)
mean_no_words,0.013786548125761027,behavioral (paper 1)
mean_user_mentions_per_tweet,0.013337577138730653,behavioral (paper 1)
log_retweet_as_tweet_rate,0.013307882856352909,behavioral (paper 1)
mean_no_hashtags,0.013268095883266419,behavioral (paper 1)
log_max_tweets_per_day,0.01302051247416138,behavioral (paper 1)
prop_reply,0.012522897487313181,behavioral (paper 1)
log_max_occurence_of_same_gap,0.01240000098566877,behavioral (paper 1)
prop_plain_retweet,0.011791421089528001,behavioral (paper 1)
log_mean_retweets_per_tweet,0.01175323719703506,behavioral (paper 1)
log_max_tweets_per_hour,0.011381146250123023,behavioral (paper 1)
ling_zwnj_ratio,0.01131807521036392,linguistic (paper 2)
prop_original_tweet,0.01131604386055222,behavioral (paper 1)
ling_quest_per_100chars,0.01078572505267401,linguistic (paper 2)
prop_retweet_with_comment,0.010169855298750594,behavioral (paper 1)
mean_no_media_per_tweet,0.009668745730698397,behavioral (paper 1)
screen_name_len,0.009610636264181818,behavioral (paper 1)
unique_mention_rate_per_tweet,0.009193683979587466,behavioral (paper 1)
n_coordination_partners,0.00896221507569592,linguistic (paper 2)
no_languages,0.008062337714241904,behavioral (paper 1)
duplicate_tweet_ratio,0.008042682827859639,linguistic (paper 2)
screen_name_has_trailing_digits,0.0038057308721610884,behavioral (paper 1)
name_digit_ratio,0.0031579911107674705,behavioral (paper 1)
has_location,0.002875871604968672,behavioral (paper 1)
has_description,0.001917126576912341,behavioral (paper 1)
has_url,0.0016346877913874123,behavioral (paper 1)
tweeted_on_creation_day_or_week,0.0012057238336433667,behavioral (paper 1)
default_profile,0.0006905764038599455,behavioral (paper 1)
default_profile_image,0.0,behavioral (paper 1)
verified,0.0,behavioral (paper 1)
