feature,importance,source
log_tweet_frequency,0.06246296502002089,behavioral (paper 1)
statuses_per_day,0.03645214030630389,behavioral (paper 1)
statuses_to_favourites,0.026046688079003108,behavioral (paper 1)
log_mean_favourites_per_tweet,0.02498930573093072,behavioral (paper 1)
ling_hashtag_per_100chars,0.024543588296491375,linguistic/coordination (paper 2)
ling_stopword_ratio,0.02452368560515448,linguistic/coordination (paper 2)
favourites_per_day,0.0244674531971626,behavioral (paper 1)
ling_unique_word_ratio,0.02410559808622875,linguistic/coordination (paper 2)
log_statuses,0.023556421308543317,behavioral (paper 1)
ling_avg_sentence_len_words,0.023222229411746023,linguistic/coordination (paper 2)
ling_avg_word_len,0.02240744714450983,linguistic/coordination (paper 2)
ling_repetition_ratio,0.021612421595949505,linguistic/coordination (paper 2)
log_retweet_as_tweet_rate,0.021151613374014423,behavioral (paper 1)
account_age_days,0.02099248601286044,behavioral (paper 1)
log_time_between_tweets,0.020532409694923103,behavioral (paper 1)
friends_to_followers,0.02045870866846573,behavioral (paper 1)
log_media_count,0.020104639192848443,behavioral (paper 1)
ling_latin_char_ratio,0.01977935960872413,linguistic/coordination (paper 2)
log_friends,0.019720628768761194,behavioral (paper 1)
followers_per_day,0.01967834359712701,behavioral (paper 1)
friends_per_day,0.019620935815615324,behavioral (paper 1)
screen_name_entropy,0.01948027918439868,behavioral (paper 1)
ling_n_words,0.018649098040794843,linguistic/coordination (paper 2)
retweet_ratio_approx,0.018278153991783713,behavioral (paper 1)
mean_no_words,0.018141748440729886,behavioral (paper 1)
ling_char_entropy,0.01799955366470505,linguistic/coordination (paper 2)
ling_n_chars,0.01786991607698612,linguistic/coordination (paper 2)
log_followers,0.017843109231197668,behavioral (paper 1)
prop_plain_retweet,0.017426101772025433,behavioral (paper 1)
mean_no_hashtags,0.01658351475545414,behavioral (paper 1)
prop_original_tweet,0.016288048244808586,behavioral (paper 1)
name_entropy,0.016250736323109125,behavioral (paper 1)
ling_n_sentences,0.01587890901480304,linguistic/coordination (paper 2)
log_mean_retweets_per_tweet,0.015253478102745431,behavioral (paper 1)
prop_reply,0.014227429396254727,behavioral (paper 1)
mean_user_mentions_per_tweet,0.014092308027494818,behavioral (paper 1)
ling_mention_per_100chars,0.014067450835935563,linguistic/coordination (paper 2)
name_len,0.013933682525867032,behavioral (paper 1)
ling_zwnj_ratio,0.013284583416913649,linguistic/coordination (paper 2)
ling_url_per_100chars,0.013037546252670711,linguistic/coordination (paper 2)
ling_emoji_per_100chars,0.01292283867935001,linguistic/coordination (paper 2)
listed_per_follower,0.012829854440220922,behavioral (paper 1)
unique_mention_rate_per_tweet,0.01258474300160567,behavioral (paper 1)
screen_name_len,0.01230025402996323,behavioral (paper 1)
screen_name_digit_ratio,0.011681154254899198,behavioral (paper 1)
prop_retweet_with_comment,0.011206627751643322,behavioral (paper 1)
log_max_occurence_of_same_gap,0.011067009975628142,behavioral (paper 1)
mean_no_media_per_tweet,0.010703431125426915,behavioral (paper 1)
ling_excl_per_100chars,0.010493533596149742,linguistic/coordination (paper 2)
ling_quest_per_100chars,0.010035677988714851,linguistic/coordination (paper 2)
log_max_tweets_per_day,0.009960398705644156,behavioral (paper 1)
duplicate_tweet_ratio,0.009008310953643196,linguistic/coordination (paper 2)
n_coordination_partners,0.008985645672866622,linguistic/coordination (paper 2)
log_max_tweets_per_hour,0.008703990668277156,behavioral (paper 1)
no_languages,0.006188004439953221,behavioral (paper 1)
has_description,0.0029783099835786024,behavioral (paper 1)
has_location,0.0025260395820196177,behavioral (paper 1)
name_digit_ratio,0.002204448832547774,behavioral (paper 1)
screen_name_has_trailing_digits,0.0020729524907829467,behavioral (paper 1)
has_url,0.0015874364366779631,behavioral (paper 1)
default_profile,0.0005699589773200276,behavioral (paper 1)
default_profile_image,0.0003746625990241357,behavioral (paper 1)
verified,0.0,behavioral (paper 1)
